0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
DEALID;DEALDATE;;QUANTITY;;ENDDATE;STRIKE;BUYORSELL;OPTIONTYPE;EXERCISETYPE;CURRENCY;ISIN;PORTFOLIO;COUNTERPARTY;FRONTOFFICEPV;VOLATILITY;;;;;;SPOT;
804942207;25/01/2005;804942207;50000;10.45;18/03/2005;340;BUY;CALL;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;18.10169669;0.129687449;0.861704275;0.014301977;-0.069271384;0.33042816;41.03945984;356.51;26/01/2005
805331379;25/01/2005;805331379;25000;20.6;21/10/2005;340;BUY;PUT;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;12.26805339;0.146698443;-0.386826367;0.010407113;-0.044117936;1.126504706;-80.75501572;356.51;26/01/2005
805354529;25/01/2005;805354529;-50000;11.43;18/03/2005;340;SELL;CALL;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;18.10169669;0.129687449;0.861704275;0.014301977;-0.069271384;0.33042816;41.03945984;356.51;26/01/2005
905340427;25/01/2005;905340427;85000;1.7;21/10/2005;240;BUY;PUT;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;0.742798524;0.239754136;-0.034958336;0.000979835;-0.009159578;0.189365868;-4.934119403;356.51;26/01/2005
905340430;25/01/2005;905340430;-85000;7.85;21/10/2005;300;SELL;PUT;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;4.304271322;0.184647165;-0.138719652;0.004586489;-0.02777095;0.685217366;-24.19764929;356.51;26/01/2005
905340433;25/01/2005;905340433;91500;3;21/10/2005;260;BUY;PUT;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;1.457908705;0.224084736;-0.054399383;0.001521405;-0.013692978;0.316418946;-8.366904619;356.51;26/01/2005
905340440;25/01/2005;905340440;-91500;12.3;21/10/2005;320;SELL;PUT;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;7.224522768;0.164701469;-0.233709557;0.007465416;-0.037344158;0.921316893;-44.1738745;356.51;26/01/2005
905340461;25/01/2005;905340461;75000;19.45;21/10/2005;340;BUY;CALL;European;EUR;NLEXTIDX0001AMS;yixmnlgaex;INT_IXONLG;22.83144153;0.146698443;0.612732175;0.010407113;-0.064304773;1.126504706;163.3452005;356.51;26/01/2005
905500450;11/01/2005;905500450;-500000;0.19;18/02/2005;22;SELL;CALL;American;EUR;BE0003801181AMS;yixmnlgaex;DEUTLON;0.10847804;0.149870101;0.211327284;0.372707694;-0.007335919;0.016826903;0.295417604;21.36;26/01/2005
905500452;11/01/2005;905500452;500000;0.08;18/02/2005;20;BUY;PUT;American;EUR;BE0003801181AMS;yixmnlgaex;DEUTLON;0.046326637;0.201473996;-0.054713211;0.102048792;-0.003857283;0.009113986;-0.057473317;21.36;26/01/2005
905625135;25/01/2005;905625135;200000;3.34;19/12/2008;20;BUY;CALL;American;EUR;BE0003801181AMS;stmnlgfora;SLIILON;3.302363024;0.225433312;0.612667948;0.073178378;-0.002618758;0.132055698;30.90615805;21.36;26/01/2005
905625806;25/01/2005;905625806;-200000;1.5;19/12/2008;25;SELL;CALL;American;EUR;BE0003801181AMS;stmnlgfora;BARCLON;1.414404221;0.199957374;0.338807664;0.075267726;-0.002163931;0.133068983;23.30957692;21.36;26/01/2005
905625840;25/01/2005;905625840;-100000;1.5;19/12/2008;25;SELL;CALL;American;EUR;BE0003801181AMS;stmnlgfora;CDCMPAR;1.414404221;0.199957374;0.338807664;0.075267726;-0.002163931;0.133068983;23.30957692;21.36;26/01/2005
905631588;26/01/2005;905631588;500000;0.44;15/04/2005;22;BUY;CALL;American;EUR;BE0003801181AMS;stmnlgfora;GSILLON;0.385276578;0.153984229;0.36363379;0.26813261;-0.006310644;0.037905462;1.73380401;21.36;26/01/2005
803295812;09/03/2004;803295812;-100000;5.02;21/10/2005;15;SELL;CALL;American;EUR;NL0000303600AMS;stmnlginga;CHASLON;7.135054639;0.302482045;0.990483584;0.004650894;-0.001316853;0.005277342;3.60947359;22.05;26/01/2005
803295818;09/03/2004;803295818;100000;0.6;21/10/2005;25;BUY;CALL;American;EUR;NL0000303600AMS;stmnlginga;CHASLON;0.259603903;0.172047951;0.152942805;0.078033757;-0.002831135;0.046774953;2.441351203;22.05;26/01/2005
803621111;15/04/2004;803621111;63013.96;0.94;19/04/2005;15.86950016;BUY;PUT;European;EUR;NL0000303600AMS;stmnlginga;BNPAHKG;0.038943729;0.372087121;-0.012704381;-0.001971772;-0.001043585;0.006390211;-0.057302643;22.05;26/01/2005
803719290;27/04/2004;803719290;-100000;1.2;18/03/2005;20;SELL;CALL;American;EUR;NL0000303600AMS;stmnlginga;SBILLON;2.206786289;0.224781471;0.936651113;0.069173831;-0.004473196;0.015854098;2.524592347;22.05;26/01/2005
803990133;26/05/2004;803990133;-100000;4.42;20/10/2006;20;SELL;PUT;European;EUR;NL0000303600AMS;stmnlginga;INT_SEFNLG;1.882701528;0.225597079;-0.366573722;0.072862622;-0.002524671;0.100615552;-13.828964;22.05;26/01/2005
